Title,Trivia,Words
Acadia National Park,"Cadillac Mountain is often cited as one of the first places to see sunrise in the continental United States for part of the year.

Acadia's coastline is built largely from pink granite shaped by glaciers and crashing waves.

Tidepools along Acadia's shore reveal starfish, crabs, and other small sea life at low tide.

Maine lobster boats are a common sight in the waters near Acadia's coastal villages.

Historic schooners still sail past Acadia's rocky shoreline, evoking the region's maritime history.

Acadia's carriage roads were built without cars in mind, designed instead for horse-drawn carriages.

Puffins nest on islands near Acadia and have been the focus of long-running conservation efforts.

Spruce and fir forests cover much of Acadia's rugged, rocky terrain.

Somes Sound, sometimes called the only fjord on the East Coast, cuts into Acadia's landscape.

Acadia's popularity for sunrise viewing draws large crowds to Cadillac Mountain, especially in fall.

Acadia's rockbound coast is one of its most photographed and iconic features.

Mount Desert Island contains the bulk of Acadia National Park's protected land.

Acadia offers an extensive network of hiking trails ranging from easy to challenging terrain.

Fall foliage draws many visitors to Acadia, as New England's maples turn brilliant colors.",CADILLAC,GRANITE,TIDEPOOL,LOBSTER,SCHOONER,CARRIAGE,PUFFIN,SPRUCE,FJORD,SUNRISE,ROCKBOUND,ISLAND,HIKING,AUTUMN
American Samoa National Park,"National Park of American Samoa protects vibrant coral reefs in the South Pacific.

Lush rainforest covers much of the park's mountainous island terrain.

American Samoa's tropical climate supports dense, year-round green vegetation.

The flying fox, a type of large fruit bat, is a distinctive resident of American Samoa's forests.

The park includes land within traditional Samoan villages rather than uninhabited wilderness.

American Samoa is the only US national park located south of the equator, in the South Pacific.

Palm trees line many of the park's beaches and coastal areas.

The park protects a mix of volcanic island terrain across several separate Samoan islands.

Snorkeling reveals the vivid coral reefs surrounding American Samoa's coastline.

Traditional Samoan culture and land practices remain closely tied to the park's management.

American Samoa is one of the most remote and least visited units in the entire park system.

The park's lush, tropical scenery has earned it a reputation as a hidden paradise.

American Samoa supports unique wildlife found nowhere else in the US national park system.

Rich marine ecosystems surround the islands protected within American Samoa's boundaries.",CORALREEF,RAINFOREST,TROPICAL,FLYINGFOX,VILLAGE,SOUTHPACIFIC,PALM,VOLCANICISLAND,SNORKELING,TRADITIONAL,REMOTE,PARADISE,WILDLIFE,MARINE
Arches National Park,"Arches National Park's sandstone formations have been shaped by millions of years of erosion.

Delicate Arch is the park's most iconic and widely photographed natural arch.

Balanced Rock appears to defy gravity, perched atop a much narrower base.

Wind and water erosion continue to slowly reshape the park's sandstone arches.

Thin rock walls called fins often erode further into freestanding arches over time.

A natural arch forms a rock span with an opening beneath it created by erosion.

Erosion has carved window-like openings through several of the park's rock formations.

Landscape Arch is one of the longest natural rock spans in the world.

Arches National Park sits within Utah's high desert region.

Sunset light dramatically colors the park's red sandstone arches and formations.

The unique geology of the region has produced one of the highest concentrations of natural arches on Earth.

Many of the park's arches are considered fragile and could eventually collapse.

The park contains numerous distinct natural arches within its boundaries.

Several arches within the park have collapsed naturally over recorded history.",SANDSTONE,DELICATEARCH,BALANCEDROCK,EROSION,FIN,SPAN,WINDOW,LANDSCAPEARCH,DESERT,SUNSET,GEOLOGY,FRAGILE,NUMEROUS,COLLAPSE
Badlands National Park,"Wind and water have eroded Badlands National Park's terrain into dramatic spires and ridges.

Sharp rock spires rise throughout the park's rugged, layered terrain.

Badlands National Park contains one of the richest fossil beds in the world.

Bison roam the grasslands surrounding the park's eroded rock formations.

Prairie dog towns are common throughout Badlands National Park's grassland areas.

Bighorn sheep have been reintroduced to the park's rugged terrain.

Colorful layered rock strata reveal millions of years of geologic history.

Mixed-grass prairie surrounds much of the park's dramatic badlands formations.

The park's rugged terrain historically made travel through the region especially difficult.

Sunset light dramatically highlights the colorful layers within Badlands' rock formations.

Paleontologists have discovered numerous ancient mammal fossils throughout the Badlands.

Large sections of the park are managed as protected wilderness.

Mixed-grass prairie ecosystems border the park's dramatic eroded formations.

Distinct colored layers of rock reveal the changing environments the region has passed through.",ERODED,SPIRE,FOSSILBED,BISON,PRAIRIEDOG,BIGHORNSHEEP,STRATA,GRASSLAND,RUGGED,SUNSET,PALEONTOLOGY,WILDERNESS,MIXEDGRASS,LAYER
Big Bend National Park,"The Rio Grande forms the international border along much of Big Bend National Park.

The Chisos Mountains rise dramatically from the desert floor within Big Bend.

Big Bend protects a vast stretch of Chihuahuan Desert landscape.

The Rio Grande has carved several dramatic canyons through Big Bend's limestone cliffs.

Big Bend sits directly along the US-Mexico border, sharing its river with two nations.

Natural hot springs along the Rio Grande have drawn visitors to Big Bend for generations.

Roadrunners are commonly spotted darting across Big Bend's desert trails.

Big Bend's mountains create a ""sky island"" habitat distinct from the surrounding desert.

Big Bend's remote location and clear skies make it one of the best stargazing spots in the country.

Big Bend has yielded significant dinosaur and other fossil discoveries over the years.

Javelinas, a wild pig-like mammal, roam throughout Big Bend's desert terrain.

Big Bend is one of the least visited and most remote national parks in the lower 48 states.

Binoculars are essential for spotting Big Bend's diverse desert and mountain wildlife.

Big Bend's desert sunsets are famous for their vivid, dramatic colors.",RIOGRANDE,CHISOS,DESERT,CANYON,BORDER,HOTSPRING,ROADRUNNER,MOUNTAIN,STARGAZING,FOSSIL,JAVELINA,REMOTE,BINOCULAR,SUNSET
Biscayne National Park,"Biscayne National Park protects a section of coral reef just off the Florida coast.

Extensive mangrove forests line much of Biscayne's shoreline, sheltering young marine life.

Snorkeling is one of the most popular ways to explore Biscayne's shallow reef waters.

Historic shipwrecks scattered across Biscayne's waters attract divers and history enthusiasts alike.

Kayaking through Biscayne's calm waters offers a quiet way to explore its mangrove islands.

Numerous small islets dot Biscayne Bay within the park's boundaries.

Seagrass beds throughout Biscayne Bay provide critical habitat for marine species.

Biscayne's warm, tropical waters support a wide variety of colorful reef fish.

Boating is essential for reaching most of Biscayne National Park, since it's over 95 percent water.

A historic lighthouse stands on one of the park's small keys.

Biscayne protects a rich estuary where fresh and salt water mix near the Florida coastline.

The park preserves a chain of marine ecosystems from mangroves to open ocean reef.

Recreational fishing is a popular activity within designated areas of Biscayne National Park.

Biscayne's clear, shallow waters make its underwater habitats especially visible to visitors.",CORALREEF,MANGROVE,SNORKELING,SHIPWRECK,KAYAKING,ISLET,SEAGRASS,TROPICAL,BOATING,LIGHTHOUSE,ESTUARY,MARINE,FISHING,CLEARWATER
Black Canyon of the Gunnison National Park,"The Gunnison River carved the Black Canyon over roughly two million years.

The canyon's extreme steepness makes portions of it difficult to safely access.

Black Canyon gets its name from how little sunlight reaches its deep, narrow walls.

Some sections of the canyon are narrower than they are deep.

Sheer cliff walls drop dramatically toward the Gunnison River below.

Painted Wall is the tallest cliff face in Colorado, located within Black Canyon.

The canyon's dark rock includes ancient schist and gneiss, among the oldest rock in North America.

Popular overlooks along the rim reveal the canyon's dramatic depth and narrowness.

Rim Road provides access to several scenic overlooks along Black Canyon's edge.

The canyon's precipice drops so sharply that little light reaches its base at midday.

Technical climbing routes attract experienced climbers to Black Canyon's steep walls.

Black Canyon's rugged terrain has kept large portions of the park remote and undeveloped.

The Gunnison River continues to slowly deepen the gorge it carved.

Deep shadow covers much of the canyon floor for large parts of the day.",GUNNISONRIVER,STEEP,DARKNESS,NARROW,SHEER,PAINTEDWALL,SCHIST,OVERLOOK,RIMROAD,PRECIPICE,CLIMBING,RUGGED,GORGE,SHADOW
Bryce Canyon National Park,"Bryce Canyon is famous for its thousands of tall, thin rock spires called hoodoos.

Bryce Canyon's main feature is actually a series of natural amphitheaters, not a single canyon.

The Rim Trail follows the edge of Bryce Canyon's amphitheaters for sweeping views.

Bryce Canyon sits at a higher elevation than many nearby national parks.

Repeated freezing and thawing continues to erode Bryce Canyon's soft rock formations.

Bryce Canyon's rock layers are made mostly of limestone shaped by weathering.

Sunrise Point offers one of the park's most popular views of the hoodoo-filled amphitheater.

Sunset Point is another iconic viewpoint overlooking Bryce Canyon's colorful formations.

Slender hoodoo spires rise dramatically from the amphitheater floor.

Frequent freeze-thaw cycles are the primary force shaping Bryce Canyon's hoodoos.

Ponderosa pine forests border the rim above Bryce Canyon's colorful amphitheaters.

Bryce Canyon's high elevation and clear air make it excellent for stargazing.

Numerous viewpoints along the rim showcase Bryce Canyon's hoodoos from different angles.

Bryce Canyon's hoodoos display vivid orange and pink coloring from iron oxide minerals.",HOODOO,AMPHITHEATER,RIMTRAIL,ELEVATION,EROSION,LIMESTONE,SUNRISE,SUNSETPOINT,SPIRE,FROST,PONDEROSA,STARGAZING,VIEWPOINT,ORANGE
Canyonlands National Park,"Canyonlands is divided into distinct districts separated by deep river canyons.

The confluence of the Green and Colorado Rivers lies at the heart of Canyonlands National Park.

The Green River carves through one section of Canyonlands National Park.

The Colorado River carves through another major section of Canyonlands.

The Island in the Sky district offers sweeping overlooks above the surrounding canyons.

The Needles district is named for its tall, colorful sandstone spires.

The remote Maze district is considered one of the most rugged and hard-to-reach areas in the park system.

White Rim Road circles beneath the Island in the Sky mesa on a scenic, rugged route.

Erosion from the Green and Colorado Rivers has carved Canyonlands' dramatic terrain over millions of years.

Canyonlands remains one of the more remote and lightly visited national parks in Utah.

Numerous overlooks throughout Canyonlands reveal dramatic views into its deep canyons.

Ancient pictographs left by earlier inhabitants can be found in parts of Canyonlands.

Canyonlands protects a vast network of interconnected canyons carved by desert rivers.

Canyonlands' rugged terrain has historically made much of the park difficult to access.",MESA,CONFLUENCE,GREENRIVER,COLORADORIVER,ISLAND,NEEDLES,MAZE,WHITERIM,EROSION,REMOTE,OVERLOOK,PICTOGRAPH,CANYON,RUGGED
Capitol Reef National Park,"Capitol Reef takes its name partly from the Waterpocket Fold, a long wrinkle in the Earth's crust.

Historic fruit orchards planted by early Mormon settlers still grow within Capitol Reef today.

White sandstone domes resembling capitol buildings gave the park part of its name.

Layers of colorful sandstone are exposed throughout Capitol Reef's rugged terrain.

Visitors can pick fruit in season from Capitol Reef's historic orchards.

Pioneer settlers established the small community of Fruita within what is now the park.

A scenic drive winds through Capitol Reef's colorful canyon walls.

Deep canyons throughout Capitol Reef reveal the region's complex geologic history.

Capitol Reef showcases some of the most striking exposed geology in the national park system.

The Waterpocket Fold is a rare, nearly 100-mile-long monocline fold in the Earth's crust.

Capitol Reef remains one of the less crowded national parks in Utah.

Hiking trails in Capitol Reef range from easy orchard walks to remote canyon routes.

Sheer cliffs rise above Capitol Reef's canyons and historic orchard valley.

Small reservoirs and streams support the historic orchards within Capitol Reef.",WATERPOCKET,ORCHARD,DOME,SANDSTONE,FRUIT,PIONEER,SCENICDRIVE,CANYON,GEOLOGY,MONOCLINE,REMOTE,HIKING,CLIFF,RESERVOIR
Carlsbad Caverns National Park,"Carlsbad Caverns formed within thick beds of ancient limestone.

A massive colony of Mexican free-tailed bats roosts in Carlsbad Caverns each summer.

Delicate stalactite formations hang from the ceiling throughout Carlsbad Caverns.

Stalagmite formations rise from the cavern floor where mineral-rich water has dripped for ages.

The Big Room is one of the largest known cave chambers in North America.

Visitors can descend deep underground through Carlsbad Caverns' extensive passage system.

An elevator offers a quick way down into the depths of Carlsbad Caverns.

Total darkness defines much of Carlsbad Caverns' deep underground environment.

Countless mineral formations decorate the walls and ceilings of Carlsbad Caverns.

Bat guano was once mined commercially from Carlsbad Caverns for use as fertilizer.

Carlsbad Caverns contains more than 100 individual mapped caves.

Dripstone formations built up slowly over thousands of years inside the caverns.

Early explorers risked significant danger mapping the depths of Carlsbad Caverns.

Carlsbad Caverns showcases some of the most striking natural cave formations in the world.",LIMESTONE,BATCOLONY,STALACTITE,STALAGMITE,BIGROOM,UNDERGROUND,ELEVATOR,DARKNESS,FORMATION,GUANO,CAVERN,DRIPSTONE,EXPLORER,NATURAL
Channel Islands National Park,"Channel Islands National Park protects a chain of islands off the Southern California coast.

Isolation has allowed unique, endemic species found nowhere else on Earth to evolve on the islands.

The island fox, found only on the Channel Islands, evolved into a uniquely small species.

Dense underwater kelp forests surround much of the Channel Islands.

Rich marine life thrives in the nutrient-rich waters surrounding the Channel Islands.

Sea lions gather in large numbers along the rocky shores of the Channel Islands.

The Channel Islands support significant nesting colonies of seabirds.

Archaeological evidence shows humans have inhabited the Channel Islands for thousands of years.

The islands' isolation from the mainland has shaped their unique plant and animal life.

Tidepools along the Channel Islands' rocky shores reveal a variety of small sea creatures.

Diving around the Channel Islands offers access to vibrant kelp forest ecosystems.

The Santa Barbara Channel separates the islands from the Southern California mainland.

The Channel Islands support a distinctive marine and terrestrial ecosystem.

Rugged, undeveloped terrain covers much of the Channel Islands' protected land.",ISLAND,ENDEMIC,ISLANDFOX,KELP,MARINELIFE,SEALION,SEABIRD,ARCHAEOLOGY,ISOLATED,TIDEPOOL,DIVING,CHANNEL,ECOSYSTEM,RUGGED
