Title,Trivia,Words
Garden Tools,"A trowel's narrow, curved blade is designed for digging small holes and transplanting seedlings.

Shovels have a curved, scoop-shaped blade, while spades have a flat blade built for cutting straight into soil.

A rake's tines can be rigid for leveling soil or flexible for gathering leaves and debris.

The hoe is one of the oldest gardening tools, used for thousands of years to break up soil and clear weeds.

Hand pruners use a scissor-like action to make clean cuts on stems up to about half an inch thick.

Garden shears are built with longer blades for trimming hedges and shaping shrubs.

A wheelbarrow's single wheel lets one person move heavy loads with far less effort than carrying them.

A spade's flat, sharp edge makes it ideal for edging beds and slicing through turf.

A cultivator's curved prongs are used to loosen and aerate soil before planting.

A dibber is a simple pointed tool used to poke planting holes for seeds and bulbs.

The sickle's curved blade was originally developed for harvesting grain crops by hand.

A mattock combines an axe-like blade with a pick, useful for breaking up hard or rocky ground.

Loppers use long handles to give gardeners the extra leverage needed to cut thick branches.

Secateurs is the British term for what Americans usually call hand pruners.",TROWEL,SHOVEL,RAKE,HOE,PRUNER,SHEARS,WHEELBARROW,SPADE,CULTIVATOR,DIBBER,SICKLE,MATTOCK,LOPPERS,SECATEURS
Popular Flowers,"Roses have been cultivated by humans for thousands of years and remain among the most popular cut flowers worldwide.

Tulip bulbs need a period of cold dormancy before they can bloom in spring.

Peonies can live and bloom in the same garden spot for decades without needing to be moved.

Dahlias come in more shapes and sizes than almost any other garden flower, from tiny pompons to dinner-plate blooms.

Zinnias are known for blooming continuously from summer through the first frost.

Carnations get their ruffled petal edges from a trait that also helps give them a long vase life.

Hydrangea flower color can shift between pink and blue depending on the soil's acidity.

Geraniums are prized by gardeners for being both easy to grow and fairly drought tolerant.

Begonias thrive in shady spots where many other flowering plants struggle to bloom.

Pansies can tolerate light frost, making them a favorite for early spring and late fall color.

Chrysanthemums are considered a symbol of autumn and have been cultivated in East Asia for centuries.

Hibiscus flowers usually last only a single day before wilting, despite their large, showy blooms.

Azaleas are technically a type of rhododendron, generally distinguished by smaller leaves and flowers.

Camellias can bloom in the middle of winter, when few other shrubs are flowering.",ROSE,TULIP,PEONY,DAHLIA,ZINNIA,CARNATION,HYDRANGEA,GERANIUM,BEGONIA,PANSY,CHRYSANTHEMUM,HIBISCUS,AZALEA,CAMELLIA
Vegetable Garden,"Tomatoes are botanically a fruit, though they're almost always grown and used as a vegetable.

Peppers range from sweet bell varieties to some of the hottest foods on Earth, all from the same plant genus.

Lettuce grows best in cool weather and can quickly turn bitter once summer heat arrives.

Radishes are one of the fastest vegetables to grow, often ready to harvest in under a month.

Onions are biennial plants, though gardeners almost always harvest them after their first growing season.

Garlic is typically planted in fall and harvested the following summer after nearly a year in the ground.

Potatoes grow underground as swollen stems called tubers, not roots.

Squash plants produce separate male and female flowers on the same vine.

Beets can be grown for both their sweet root and their edible, nutrient-rich leafy greens.

Kale becomes noticeably sweeter after exposure to a light frost.

Celery requires a long, steady growing season and consistent watering to develop its crisp stalks.

Eggplants are members of the nightshade family, related to tomatoes and potatoes.

Okra pods can turn tough and fibrous if left on the plant just a day or two too long.

Chard is prized by gardeners for producing edible leaves all season without needing to be replanted.",TOMATO,PEPPER,LETTUCE,RADISH,ONION,GARLIC,POTATO,SQUASH,BEET,KALE,CELERY,EGGPLANT,OKRA,CHARD
Culinary Herbs,"Basil is closely related to mint and shares that family's characteristic square-shaped stems.

Thyme is one of the few herbs that keeps much of its flavor even after long cooking or drying.

Rosemary's name comes from a Latin phrase often translated as ""dew of the sea,"" referencing its Mediterranean origins.

Oregano's flavor is generally considered strongest when the plant is dried rather than used fresh.

Cilantro and coriander come from the same plant -- the leaves are called cilantro, the seeds coriander.

Parsley comes in two main forms, curly and flat-leaf, with the flat variety generally having a stronger flavor.

Sage was historically valued not just for cooking but also as a preservative for meats before refrigeration.

Dill is a member of the carrot family, and both its feathery leaves and seeds are used in cooking.

Mint spreads so aggressively by underground runners that gardeners often grow it in containers to contain it.

Chives are among the smallest species in the onion family and regrow quickly after being cut.

Tarragon is a key ingredient in classic French cooking, especially in bearnaise sauce.

Fennel produces both a crunchy, anise-flavored bulb and feathery, edible fronds.

Marjoram is a close relative of oregano but has a milder, sweeter flavor.

Bay leaves are almost always removed from a dish before serving since they stay tough even after cooking.",BASIL,THYME,ROSEMARY,OREGANO,CILANTRO,PARSLEY,SAGE,DILL,MINT,CHIVES,TARRAGON,FENNEL,MARJORAM,BAY
Fruit Trees,"Apple trees grown from seed rarely produce fruit identical to their parent, which is why orchards rely on grafting.

Peach trees need a certain number of cold hours each winter before they'll bloom properly in spring.

Pear trees are sometimes trained flat against a wall or fence using a technique called espalier.

Cherry trees are generally divided into sweet varieties for eating fresh and tart varieties for cooking.

Plum trees come in several types, including European, Japanese, and American, each with different fruit traits.

Apricot trees tend to bloom very early in spring, which can put their flowers at risk from late frosts.

Fig trees can produce fruit without needing pollination at all, depending on the variety.

Lemon trees can flower and fruit at the same time, often nearly year-round in warm climates.

Orange trees are among the most widely planted fruit trees in the world.

Lime trees are generally more cold-sensitive than most other citrus varieties.

Nectarines and peaches are genetically very similar, differing mainly in a gene controlling the fruit's fuzzy skin.

Persimmon trees often keep their bright orange fruit hanging on bare branches well after the leaves have fallen.

Pomegranates are technically classified as a berry, despite their tough outer rind.

Quince fruit is usually too hard and tart to eat raw and is typically cooked into jams or pastes.",APPLE,PEACH,PEAR,CHERRY,PLUM,APRICOT,FIG,LEMON,ORANGE,LIME,NECTARINE,PERSIMMON,POMEGRANATE,QUINCE
Garden Pests,"Aphids reproduce so quickly that a single female can give rise to many generations in one growing season.

Slugs are most active at night and after rain, which is when they do the most damage to leafy plants.

Snails carry their protective shell everywhere and can seal themselves inside it during dry spells.

Many beetle species that damage garden plants spend part of their life cycle underground as larvae.

Caterpillars are simply the larval stage of moths and butterflies before they transform.

Weevils are recognizable by their long, curved snout, which they use to bore into plants and seeds.

Mealybugs protect themselves with a white, waxy coating that can make them hard to wash off.

Whiteflies aren't true flies at all -- they're more closely related to aphids.

Cutworms earn their name by chewing through young seedling stems right at the soil line.

Grubs are the larval stage of beetles and often live underground, feeding on plant roots.

Spider mites are so small that gardeners often notice their fine webbing before they spot the mites themselves.

Thrips are tiny, slender insects that can spread plant diseases as they feed.

Tomato hornworms can strip a plant of its leaves remarkably fast for their size.

Leafhoppers can jump many times their own body length to escape predators.",APHID,SLUG,SNAIL,BEETLE,CATERPILLAR,WEEVIL,MEALYBUG,WHITEFLY,CUTWORM,GRUB,MITE,THRIP,HORNWORM,LEAFHOPPER
Pollinators and Beneficial Insects,"Bees are responsible for pollinating a huge share of the world's flowering food crops.

Butterflies taste with sensors on their feet, helping them identify the right plants to lay eggs on.

Ladybugs can eat dozens of aphids in a single day, making them a gardener's natural ally.

Hoverflies mimic the black-and-yellow coloring of bees and wasps despite being harmless flies.

Bumblebees can fly in cooler temperatures than most other bees, making them important early-season pollinators.

Some wasp species are highly beneficial in gardens because they prey on caterpillars and other pest insects.

Moths pollinate many night-blooming flowers that bees rarely if ever visit.

Dragonflies are effective predators of mosquitoes and other small flying insects.

The praying mantis is a patient ambush predator that will eat almost any insect it can catch.

Lacewing larvae are sometimes called ""aphid lions"" for how many aphids they consume.

Honeybees communicate the location of food sources to each other through a distinctive waggle dance.

Hummingbirds have such high energy needs that they visit hundreds of flowers a day for nectar.

Many garden spiders are beneficial predators that help keep insect pest populations in check.

Earthworms improve soil structure and fertility as they tunnel through the ground and break down organic matter.",BEE,BUTTERFLY,LADYBUG,HOVERFLY,BUMBLEBEE,WASP,MOTH,DRAGONFLY,MANTIS,LACEWING,HONEYBEE,HUMMINGBIRD,SPIDER,EARTHWORM
Soil and Composting,"Compost forms as microorganisms break down organic material like food scraps and yard waste into rich, dark soil.

A layer of mulch helps soil retain moisture and suppresses weed growth at the same time.

Humus is the dark, stable organic matter left after decomposition is mostly complete, and it improves soil quality.

Loam is considered ideal garden soil because it balances sand, silt, and clay in roughly equal parts.

Clay soil holds water and nutrients well but can become compacted and drain poorly.

Silt particles are smaller than sand but larger than clay, giving silty soil a smooth, floury texture.

Nitrogen is one of the three main nutrients plants need most, supporting healthy leaf and stem growth.

Phosphorus supports strong root development and helps plants flower and produce fruit.

Potassium helps plants regulate water use and supports overall disease resistance.

Microbes in healthy soil break down organic matter and make nutrients available to plant roots.

Fallen leaves and food scraps decompose faster when they're chopped smaller before being added to a compost pile.

Aerating soil relieves compaction, letting air, water, and roots move through it more easily.

Soil acidity is measured on a pH scale, and most garden plants prefer a slightly acidic to neutral range.

Plants absorb nutrients from the soil through their root systems, dissolved in water.",COMPOST,MULCH,HUMUS,LOAM,CLAY,SILT,NITROGEN,PHOSPHORUS,POTASSIUM,MICROBE,DECOMPOSE,AERATE,ACIDITY,NUTRIENT
Pruning and Trimming,"Pruning at the right time of year helps a plant heal quickly and encourages healthy new growth.

Trimming hedges regularly keeps them dense by encouraging branching along their outer edges.

Deadheading spent flowers often encourages a plant to keep producing new blooms instead of setting seed.

Thinning out crowded branches improves airflow and lets more sunlight reach the remaining growth.

Careful shaping over several seasons can train a young shrub into almost any desired form.

A clean cut heals faster and is less likely to invite disease than a ragged or torn one.

A well-maintained hedge can serve as a living fence, privacy screen, or garden border.

Topiary is the art of pruning trees and shrubs into precise, often geometric or animal-shaped forms.

A bud is the undeveloped growth point on a plant that can become a new leaf, stem, or flower.

A plant's stem provides structural support and transports water and nutrients between roots and leaves.

Removing a damaged or diseased branch promptly can protect the rest of the plant from further harm.

Suckers are vigorous shoots that grow from a plant's base or roots and often need to be removed.

Trees seal off pruning wounds by forming a callus of new tissue around the cut edge.

Scaffold branches form a tree's main structural framework and are chosen carefully when young trees are pruned.",PRUNE,TRIM,DEADHEAD,THIN,SHAPE,CUT,HEDGE,TOPIARY,BUD,STEM,BRANCH,SUCKER,CALLUS,SCAFFOLD
Types of Gardens,"Cottage gardens are known for their informal, densely packed mix of flowers, herbs, and vegetables.

Formal gardens rely on symmetry and carefully clipped hedges to create a structured, geometric look.

Rock gardens use stones and gravel to create a well-drained home for alpine and drought-tolerant plants.

Container gardening lets people grow plants in pots, making it possible even without any ground soil.

Raised bed gardens improve drainage and let gardeners control soil quality more precisely than in-ground beds.

Vertical gardens grow plants upward on walls, trellises, or stacked structures to save ground space.

A kitchen garden is grown specifically to supply fresh vegetables and herbs for everyday cooking.

A butterfly garden is planted specifically with nectar and host plants to attract and support butterflies.

Rain gardens are planted in low spots to capture and filter stormwater runoff naturally.

Zen gardens use raked gravel or sand alongside carefully placed rocks to encourage calm reflection.

Tropical gardens rely on bold foliage and lush, layered plantings to create a rainforest-like feel.

Desert gardens favor cacti and succulents specifically chosen to thrive with very little water.

Community gardens give neighbors shared plots of land to grow food and flowers together.

Woodland gardens are planted beneath trees, favoring shade-loving plants like ferns and hostas.",COTTAGE,FORMAL,ROCK,CONTAINER,RAISED,VERTICAL,KITCHEN,BUTTERFLY,RAIN,ZEN,TROPICAL,DESERT,COMMUNITY,WOODLAND
