Title,Trivia,Words
Classic Sitcoms,"Classic sitcoms followed a regular half-hour format built around comedic situations.

Sitcoms are typically broken into individual episodes with a self-contained story.

Many classic sitcoms are still watched today thanks to syndicated reruns.

Family life was a frequent subject of classic television sitcoms.

Sitcom is short for situation comedy.

A well-timed punchline was central to a sitcom's comedic style.

Classic sitcoms often used a laugh track to cue the audience.

Sitcoms aired on one of a handful of major television networks.

Families gathered weekly to watch their favorite sitcom together.",SITCOM,EPISODE,RERUN,FAMILY,COMEDY,PUNCHLINE,LAUGHTRACK,NETWORK,WEEKLY
The Jukebox,"A jukebox let customers pick songs to play in a public space.

Playing a song on a jukebox often cost just a nickel.

Jukeboxes offered a selection of records to choose from.

Jukeboxes were a common fixture in diners and soda shops.

Many jukeboxes featured colorful, flashing lights.

The bright lights made a jukebox stand out in any room.

Each jukebox held a stack of records ready to play.

A coin dropped into the slot activated the jukebox.

Customers picked their favorite tune from the jukebox menu.",JUKEBOX,NICKEL,SELECTION,DINER,FLASHING,LIGHTS,RECORD,COIN,TUNE
Drive-In Movies,"Drive-in movies were projected onto a giant outdoor screen.

Each car had its own speaker to hear the movie's audio.

Moviegoers parked their cars in rows facing the screen.

Drive-in showings typically began at dusk.

The outdoor setting let people watch movies from their cars.

A concession stand sold snacks between showings.

Drive-ins were a popular outing for the whole family.

Some moviegoers brought blankets and pillows for comfort.

Drive-in theaters came alive as night fell.",SCREEN,SPEAKER,PARKING,DUSK,OUTDOOR,CONCESSION,FAMILY,BLANKET,NIGHT
Classic Cars,"Classic cars are prized for their chrome trim and detailing.

A well-tuned engine was a point of pride for car owners.

A classic car is valued for its lasting style and history.

Vintage cars often draw crowds at car shows.

Owners kept their classic cars polished to a bright shine.

Dedicated collectors search for rare, well-kept classic cars.

Each classic car model has its own distinct look.

Many classic cars have been carefully restored over the years.

New models were once proudly displayed in a dealer showroom.",CHROME,ENGINE,CLASSIC,VINTAGE,POLISHED,COLLECTOR,MODEL,RESTORED,SHOWROOM
One-Room Schoolhouses,"A one-room schoolhouse held a single classroom for all grades.

One teacher often taught every grade in the same room.

Students of many different grades studied side by side.

A wood-burning stove kept the schoolhouse warm in winter.

Students sat together on simple wooden benches.

One-room schoolhouses were common in rural communities.

Older students sometimes helped teach a lesson to younger ones.

Many students wrote their lessons on a small slate.

The schoolhouse often served as a hub for the whole community.",CLASSROOM,TEACHER,GRADES,STOVE,BENCH,RURAL,LESSON,SLATE,COMMUNITY
Penny Candy,"Penny candy cost just a single penny per piece.

Kids picked their favorite candy from a big display.

Penny candy was often sold from a store counter.

Candy was displayed in large glass jars.

Chewy licorice was a popular penny candy option.

Soft, chewy taffy came in many fruity flavors.

A colorful gumdrop was a favorite penny candy pick.

Some penny candies came in a small paper wrapper.

A trip to the store often meant picking out a sweet treat.",PENNY,CANDY,COUNTER,JAR,LICORICE,TAFFY,GUMDROP,WRAPPER,SWEET
Poodle Skirts,"A poodle skirt featured a felt design shaped like a poodle.

Poodle skirts were typically made of soft felt fabric.

A poodle shape was often stitched on as an applique.

The skirt was cut in a wide circle shape.

A poodle skirt would twirl dramatically while dancing.

Poodle skirts came in bright, colorful designs.

The wide, swinging shape was part of the style's charm.

Poodle skirts were especially popular for a night of dance.

The poodle skirt became an iconic style of its era.",POODLE,FELT,APPLIQUE,CIRCLE,TWIRL,COLORFUL,SWING,DANCE,STYLE
Rotary Phones,"A rotary phone was dialed by turning a numbered wheel.

Users placed a finger in the dial to call a number.

A coiled cord connected the phone's receiver to its base.

Callers lifted the receiver to make or answer a call.

The dial made a distinct click as it spun back.

Each rotary phone dialed a full number one digit at a time.

Some calls were connected with the help of an operator.

Rotary phones were fairly heavy compared to later models.

A ringing rotary phone had a loud, mechanical bell.",ROTARY,DIAL,CORD,RECEIVER,CLICK,NUMBER,OPERATOR,HEAVY,RINGING
Marbles,"Marbles were small round toys often made of glass.

Most marbles were made of colorful glass.

Players aimed a larger shooter marble at the others.

Marbles were often played within a chalk-drawn circle.

A large marble used for shooting was called an aggie.

Kids carried their marbles in a small pouch.

Kids loved to trade marbles with their friends.

Many children enjoyed collecting rare or colorful marbles.

Some neighborhoods even held a friendly marbles tournament.",MARBLE,GLASS,SHOOTER,CIRCLE,AGGIE,POUCH,TRADE,COLLECT,TOURNAMENT
The Corner Store,"A friendly shopkeeper ran the neighborhood corner store.

Kids often stopped in with a few pennies to spend.

Goods were stocked on simple wooden shelves.

The corner store served as a hub for the local area.

Penny candy was a favorite corner store purchase.

The corner store often sold the daily newspaper.

Families sent kids to the corner store to run an errand.

The shopkeeper was known for being friendly to regulars.

A small bell rang whenever the door opened.",SHOPKEEPER,PENNY,SHELF,LOCAL,CANDY,NEWSPAPER,ERRAND,FRIENDLY,BELL
Saturday Morning Cartoons,"Saturday morning cartoons were a beloved weekly ritual for many households.

The shows were entirely animated, unlike live-action programming.

Kids looked forward to the cartoons all week on the weekend.

Viewers had to tune to a specific channel at the right time.

Many kids ate a bowl of cereal while watching their cartoons.

Cartoons were made with children as the primary audience.

A memorable character was often the heart of a cartoon series.

Some Saturday morning cartoons are now considered animation classics.

The funniest cartoon moments could bring a genuine chuckle.",CARTOON,ANIMATED,WEEKEND,CHANNEL,CEREAL,CHILDREN,CHARACTER,CLASSIC,CHUCKLE
Vinyl Records,"Vinyl records stored music in a spiral groove pressed into plastic.

A full-length record was commonly called an album.

A turntable spun the record so the needle could play it.

A small needle traced the record's groove to produce sound.

Music was encoded directly into the record's spiral groove.

Records came protected inside a paper or cardboard sleeve.

The record kept spinning steadily on the turntable's platter.

Serious music fans became dedicated record collectors.

Many households kept a tall stack of favorite records.",VINYL,ALBUM,TURNTABLE,NEEDLE,GROOVE,SLEEVE,SPINNING,COLLECTOR,STACK
Movie Theater Popcorn,"Popcorn became the signature snack of the movie theater experience.

Warm melted butter was poured generously over the popcorn.

Each kernel popped fluffy and light when heated.

Salted popcorn was the classic movie theater choice.

Popcorn was usually served in a large paper bucket.

The aroma of fresh popcorn filled the theater lobby.

Popcorn was sold at the theater's concession stand.

Fresh popcorn had a satisfying crunchy texture.

Some theaters offered a free refill on a large popcorn.",POPCORN,BUTTER,KERNEL,SALTED,BUCKET,AROMA,CONCESSION,CRUNCHY,REFILL
Route 66,"Route 66 became one of America's most famous highways.

Travelers stopped at colorful roadside attractions along the way.

A classic roadside diner was a common Route 66 stop.

A cozy motel offered travelers a place to rest for the night.

Bright neon signs lit up many Route 66 businesses.

Route 66 became known as a route for crossing the country.

Several unique landmarks made Route 66 a memorable drive.

Route 66 covered a long stretch of American highway.

Route 66 inspired generations of cross-country travel.",HIGHWAY,ROADSIDE,DINER,MOTEL,NEON,CROSSING,LANDMARK,STRETCH,TRAVEL
School Lunches,"Many students carried their lunch to school in a metal lunchbox.

A thermos kept soup or milk warm or cold until lunchtime.

Some students bought a hot lunch in the school cafeteria.

Cafeteria lunches were served on a divided tray.

A simple sandwich was a common packed-lunch choice.

A small carton of milk often came with a school lunch.

A small dessert was sometimes a lunchtime treat.

Lunch was often followed by a period of recess.

A cloth or paper napkin came tucked into most lunchboxes.",LUNCHBOX,THERMOS,CAFETERIA,TRAY,SANDWICH,MILK,DESSERT,RECESS,NAPKIN
The Soda Fountain,"A soda fountain mixed flavored syrup with fizzy water.

Flavored syrup gave each soda fountain drink its taste.

Soda fountains served bubbly, carbonated drinks.

Customers often sat on a tall stool at the counter.

A soda arrived with a straw ready to sip.

Customers could choose from a variety of syrup flavors.

The soda fountain counter was the heart of the drugstore.

A fizzy soda fountain drink was a refreshing treat.

A quick spritz of soda water finished the drink.",FOUNTAIN,SYRUP,CARBONATED,STOOL,STRAW,FLAVOR,COUNTER,FIZZY,SPRITZ
Saddle Shoes,"Saddle shoes featured a contrasting saddle-shaped panel.

Saddle shoes were typically made of sturdy leather.

The shoes were fastened with a simple set of laces.

The classic look combined two-tone color panels.

Owners kept their saddle shoes polished and clean.

Saddle shoes were a style of classic oxford shoe.

Saddle shoes became a popular choice for school wear.

The shoes offered a comfortable, casual look.

Saddle shoes were valued for being sturdy and durable.",SADDLE,LEATHER,LACES,TWOTONE,POLISH,OXFORD,SCHOOL,CASUAL,STURDY
Party Lines,"A party line was a phone line shared by several homes.

Neighbors on the same line could sometimes overhear each other.

Some neighbors would quietly listen in on a call.

A different pattern of rings told each household its call.

Party lines offered very little privacy for callers.

Neighbors sometimes had a quick chat before hanging up.

A shared phone line connected multiple households at once.

Callers often had to wait for the line to be free.

Using a party line politely required a bit of etiquette.",SHARED,NEIGHBOR,LISTEN,RINGS,PRIVACY,CHAT,PHONE,WAIT,ETIQUETTE
Jacks,"Jacks was played with small metal pieces and a bouncy ball.

Players had to catch the ball after a single bounce.

Players would scatter the jacks across the floor first.

Players had to grab jacks before the ball bounced twice.

A small rubber ball was used to play the game.

Each round of jacks increased the challenge.

Quick hands were needed to win at jacks.

Players would toss the ball gently into the air.

Catching the ball in time was the key skill.",JACKS,BOUNCE,SCATTER,GRAB,RUBBER,ROUND,QUICK,TOSS,CATCH
Barbershops,"A barber gave haircuts and shaves at the local shop.

Clippers were used to trim hair quickly and evenly.

Customers sat in a large, adjustable barber chair.

A big mirror let customers see their new haircut.

A red, white, and blue pole marked most barbershops.

A barber would trim hair to the customer's liking.

Some customers came in for a classic straight-razor shave.

Barbershops were a favorite place for a friendly chat.

Customers often flipped through a magazine while waiting.",BARBER,CLIPPERS,CHAIR,MIRROR,POLE,TRIM,SHAVE,CHAT,MAGAZINE
