Title,Trivia,Words
Fruits and Vegetables,"Bananas are botanically classified as berries, unlike strawberries.

A pineapple takes about two years to fully grow and ripen.

Broccoli is actually an immature flower cluster that hasn't bloomed yet.

Popeye's creator gave him a love of spinach for its vitamin A, not iron, despite a popular myth to the contrary.

Carrots were originally purple before orange varieties became popular in Europe.

Pumpkins are more than 90 percent water by weight.

Avocados are technically a single-seeded berry, not a vegetable.

Cucumbers are made up of about 96 percent water, more than most produce.

Each raspberry is actually a cluster of dozens of tiny individual fruits.

An artichoke is the unopened flower bud of a large thistle plant.

Asparagus spears can grow several inches in just a single day.

A cantaloupe's netted skin pattern is called ""webbing.""

Zucchini flowers are edible and often fried or stuffed as a delicacy.

Turnips were carved as lanterns before pumpkins became the Halloween favorite.",BANANA,PINEAPPLE,BROCCOLI,SPINACH,CARROT,PUMPKIN,AVOCADO,CUCUMBER,RASPBERRY,ARTICHOKE,ASPARAGUS,CANTALOUPE,ZUCCHINI,TURNIP
Camping and Outdoors,"Campfires were one of the earliest technologies to give early humans warmth, light, and safety.

Modern camping tents evolved from military designs used in the 19th century.

Lanterns were once fueled by whale oil before kerosene became common.

A compass needle aligns with Earth's magnetic field to always point north.

The modern internal-frame backpack was popularized in the 1960s and 70s.

Hiking is one of the most popular outdoor recreational activities in the world.

The Appalachian Trail stretches roughly 2,200 miles along the eastern United States.

Canoes have been used by cultures around the world for thousands of years.

A quality sleeping bag is rated by the lowest temperature it can comfortably handle.

Roasting marshmallows over an open fire became popular in the early 1900s.

Protected wilderness areas are set aside specifically to remain undeveloped by humans.

Binoculars use two angled telescopes to create a single magnified, 3D image.

Dry, seasoned firewood burns hotter and produces far less smoke than green wood.

Riverbanks are constantly reshaped by the erosion and flow of moving water.",CAMPFIRE,TENT,LANTERN,COMPASS,BACKPACK,HIKING,TRAIL,CANOE,SLEEPING,MARSHMALLOW,WILDERNESS,BINOCULARS,FIREWOOD,RIVERBANK
Restaurant,"A restaurant menu is often carefully designed to highlight the dishes that are most profitable to prepare.

The role of a waiter historically developed alongside the rise of formal restaurants in 18th-century France.

Professional kitchens are often organized into distinct stations, each responsible for a specific type of dish.

Reservations help restaurants estimate demand and manage table turnover during busy periods.

Appetizers are meant to be lighter dishes served before the main course.

The word ""entree"" now commonly refers to a main dish, though it historically referred to a course served before the main meal in French dining.

Desserts are typically the final course of a meal, often emphasizing sweetness.

The modern concept of a head chef leading a structured kitchen brigade traces back to French culinary tradition.

A garnish is added mainly to enhance a dish's visual presentation, though it can also add flavor.

Tipping customs for restaurant service vary significantly between different countries.

Buffet-style dining lets guests select and serve themselves from a variety of dishes.

A hostess typically manages seating and greets guests as they arrive at a restaurant.

Cutlery sets historically became more standardized as formal dining etiquette developed in Europe.

Itemized receipts help both diners and restaurants track exactly what was ordered and charged.",MENU,WAITER,KITCHEN,RESERVATION,APPETIZER,ENTREE,DESSERT,CHEF,GARNISH,TIP,BUFFET,HOSTESS,CUTLERY,RECEIPT
Travel and Vacation,"Modern passports with photographs became standard in the early 1900s.

Wheeled luggage wasn't widely available to travelers until the 1970s.

A detailed itinerary can help travelers make the most of a limited trip.

The world's busiest airports handle well over 100 million passengers a year.

The word ""souvenir"" comes from the French word meaning ""to remember.""

A ship's horizon can appear to curve slightly due to the Earth's shape.

Long ocean voyages once took months before modern engines shortened travel time.

A short excursion is typically a side trip taken from a larger home base.

Sailors relied on a magnetic compass for navigation long before GPS existed.

Hostels were created in the early 1900s to give young travelers affordable lodging.

Famous landmarks often become the most recognizable symbol of an entire city or country.

The word ""sightsee"" only entered common English usage in the 1800s.

The idea of ""adventure travel"" grew rapidly in popularity in the late 20th century.

Airport departure boards were once updated entirely by hand before digital displays.",PASSPORT,LUGGAGE,ITINERARY,AIRPORT,SOUVENIR,HORIZON,VOYAGE,EXCURSION,COMPASS,HOSTEL,LANDMARK,SIGHTSEE,ADVENTURE,DEPARTURE
School Days,"The one-room classroom was the standard for American education well into the 20th century.

Teachers have existed as a profession for thousands of years, dating to ancient civilizations.

The spiral notebook design was patented in the early 20th century.

The modern pencil's graphite core was discovered in England in the 1500s.

The word ""backpack"" only became common in everyday use in the mid-1900s.

The ideal amount of homework has been debated by educators for over a century.

The oldest known libraries date back thousands of years to ancient Mesopotamia.

School hallways are typically built wide enough for students to pass safely between classes.

Combination lockers became common in schools in the early-to-mid 1900s.

A class schedule helps students balance different subjects throughout the day.

The word ""cafeteria"" comes from a Spanish and Mexican term for a coffee shop.

The word ""principal"" originally meant ""first"" or ""most important"" in Latin.

Recess breaks are linked by researchers to improved focus and classroom behavior.

Most schools divide the academic year into two main semesters.",CLASSROOM,TEACHER,NOTEBOOK,PENCIL,BACKPACK,HOMEWORK,LIBRARY,HALLWAY,LOCKER,SCHEDULE,CAFETERIA,PRINCIPAL,RECESS,SEMESTER
Christmas,"Real reindeer are strong swimmers, quite unlike their flying counterparts in holiday legend.

Hanging stockings by the fireplace became a popular tradition in the 1800s.

Garland was traditionally made from natural greenery like pine, holly, or fir branches.

Kissing under mistletoe is a tradition that dates back hundreds of years in Europe.

Glass Christmas ornaments were first mass-produced in Germany in the 1800s.

Santa entering through the chimney echoes an old belief that spirits used hearths to travel.

Sleighs were once a practical winter vehicle long before becoming a holiday symbol.

Caroling has roots in old midwinter songs sung door-to-door for centuries.

Tinsel was originally made from real shredded silver in the 1600s.

Wreaths have symbolized eternity and the changing seasons since ancient times.

Gingerbread houses became popular in Germany, partly inspired by old fairy tales.

Eggnog is believed to have descended from a medieval European drink called posset.

Fireplaces were historically the primary source of heat and light for entire homes.

Every natural snowflake is believed to have a unique six-sided crystal structure.",REINDEER,STOCKING,GARLAND,MISTLETOE,ORNAMENT,CHIMNEY,SLEIGH,CAROLING,TINSEL,WREATH,GINGERBREAD,EGGNOG,FIREPLACE,SNOWFLAKE
Rocks and Minerals,"Granite is an igneous rock that forms from slowly cooling magma deep underground.

Quartz is one of the most abundant minerals in Earth's continental crust.

Limestone is often formed from the compressed remains of ancient marine organisms.

Marble forms when limestone is transformed by intense heat and pressure underground.

Obsidian is a natural volcanic glass that forms when lava cools extremely quickly.

Basalt is the most common volcanic rock and makes up much of the ocean floor.

Slate splits easily into thin, flat sheets because of its layered structure.

Gypsum is soft enough to be scratched with a fingernail, making it useful for identification.

Calcite reacts with acid, which is one of the simplest ways geologists identify it in the field.

Feldspar makes up a large portion of Earth's crust and is a key ingredient in many rocks.

Mica splits into thin, flexible sheets and was historically used in stove and lantern windows.

Pyrite is nicknamed ""fool's gold"" because of its metallic, golden appearance.

Fossils form when the remains of living things are gradually replaced by minerals over long periods of time.

Sediment layers can reveal a record of Earth's history stretching back millions of years.",GRANITE,QUARTZ,LIMESTONE,MARBLE,OBSIDIAN,BASALT,SLATE,GYPSUM,CALCITE,FELDSPAR,MICA,PYRITE,FOSSIL,SEDIMENT
Beach and Seaside,"Most seashells are the exoskeletons left behind by mollusks like snails and clams.

Lighthouses have guided sailors safely along dangerous coastlines for over 2,000 years.

The world's tallest sandcastle on record stands over 69 feet high.

Early wooden boardwalks were built to keep beachgoers' feet out of the hot sand.

The snorkel's simple tube design lets swimmers breathe while floating face-down.

Driftwood can travel thousands of miles across oceans before washing ashore.

Tidepools reveal a miniature ecosystem of sea life exposed only at low tide.

The horizon appears only a few miles away for a person standing at sea level.

The beach umbrella became a popular seaside accessory in the 19th century.

Seagulls can drink both fresh water and salt water thanks to special glands.

Shorelines are constantly reshaped by tides, waves, and shifting sand.

A lagoon is typically a shallow body of water separated from the sea by a reef or sandbar.

Sandbars can shift position significantly after just a single strong storm.

The modern surfboard evolved from solid wooden boards used by Polynesian islanders.",SEASHELL,LIGHTHOUSE,SANDCASTLE,BOARDWALK,SNORKEL,DRIFTWOOD,TIDEPOOL,HORIZON,UMBRELLA,SEAGULL,SHORELINE,LAGOON,SANDBAR,SURFBOARD
Cars and Automobiles,"Early automobile engines were far less efficient and powerful than modern ones, but established the basic design still used today.

A transmission manages how engine power is converted into the right speed and torque for the wheels.

The ignition system provides the spark needed to start a gasoline engine's combustion process.

Bumpers are designed to help absorb impact and reduce damage during low-speed collisions.

A car's dashboard displays essential information like speed, fuel level, and warning indicators.

An odometer tracks the total distance a vehicle has traveled over its lifetime.

Headlights allow safe nighttime driving and are legally required on most public roads.

A car's exhaust system channels combustion gases away from the engine and out of the vehicle.

A vehicle's chassis forms the structural frame that supports its body and major components.

Horsepower is a unit used to measure an engine's power output.

A manual gearshift lets a driver select gears directly rather than relying on an automatic system.

Windshields are made of laminated glass designed to hold together rather than shatter into sharp pieces.

Mechanics diagnose and repair a wide range of mechanical and electrical vehicle issues.

A muffler reduces the noise produced by a vehicle's exhaust system.",ENGINE,TRANSMISSION,IGNITION,BUMPER,DASHBOARD,ODOMETER,HEADLIGHT,EXHAUST,CHASSIS,HORSEPOWER,GEARSHIFT,WINDSHIELD,MECHANIC,MUFFLER
Desserts and Sweets,"The brownie was reportedly invented after a baker forgot to add baking powder to a cake.

Cupcakes get their name from being baked in individual cups instead of one large pan.

Pudding was originally a savory dish long before it became a sweet dessert.

Caramel forms when sugar is heated until it browns and develops a nutty flavor.

Toffee is made by boiling sugar and butter together until it hardens as it cools.

Sorbet contains no dairy at all, unlike sherbet, which has a small amount.

Meringue is made almost entirely of whipped egg whites and sugar.

Fudge became popular in America after a supposed ""fudged"" batch of caramel in the 1880s.

The word ""pastry"" comes from ""paste,"" referring to the dough used to make it.

Mousse gets its light, airy texture from whipped cream or beaten egg whites.

Pralines are named after a 17th-century French diplomat.

A macaroon is traditionally made from shredded coconut or ground almonds.

A cobbler gets its name because its uneven crust resembles a cobbled street.

The ice cream sundae was partly invented to get around old laws restricting Sunday soda sales.",BROWNIE,CUPCAKE,PUDDING,CARAMEL,TOFFEE,SORBET,MERINGUE,FUDGE,PASTRY,MOUSSE,PRALINE,MACAROON,COBBLER,SUNDAE
