Title,Trivia,Words
Abyssinian,"The Abyssinian's name reflects an early belief that the breed originated in Ethiopia.

A distinctive ticked coat, with each hair banded in multiple colors, defines the breed.

Abyssinians have an athletic, muscular build suited to jumping and climbing.

The Abyssinian is considered one of the oldest known cat breeds.

Abyssinians are famously curious, often investigating every corner of their home.

The breed is highly active, rarely content to sit still for long.

A short, fine coat is characteristic of the Abyssinian.

Almond-shaped eyes give the Abyssinian an alert, expressive look.

Abyssinians are energetic cats that enjoy climbing and interactive play.

The breed is considered quite intelligent, often learning to open doors or cabinets.

Abyssinians are known for being deeply affectionate with their families.

A slender, elegant body shape is typical of the breed.

The breed retains a playful personality well into adulthood.

Abyssinians are generally not especially vocal compared to some other breeds.",ETHIOPIA,TICKEDCOAT,ATHLETIC,ANCIENT,CURIOUS,ACTIVE,SHORTHAIR,ALMONDEYES,ENERGETIC,INTELLIGENT,AFFECTIONATE,SLENDER,PLAYFUL,VOCAL
Aegean,"The Aegean cat originated in Greece, particularly around the Aegean islands.

The breed developed naturally over centuries rather than through deliberate breeding programs.

Aegean cats are known for their willingness to swim, unusual among domestic cats.

A bicolor coat, typically white combined with another color, is common in the breed.

The Aegean is generally known for a sociable, people-oriented temperament.

The breed has a medium-sized, well-proportioned body.

Aegean cats have a semi-long coat, longer than a typical shorthair but not extremely long.

The breed is generally known for being quite friendly with people.

Aegean cats developed on the Greek islands, closely tied to island life.

Aegeans are known for being deeply affectionate with their families.

The breed's willingness to fish reflects its coastal Greek origins.

Aegean cats are considered adaptable to a variety of households.

The breed can be fairly vocal, communicating readily with its owners.

Aegean cats retain a playful personality into adulthood.",GREECE,NATURALBREED,SWIMMER,BICOLOR,SOCIABLE,MEDIUMSIZE,SEMILONGHAIR,FRIENDLY,ISLAND,AFFECTIONATE,FISHING,ADAPTABLE,VOCAL,PLAYFUL
American Bobtail,"A naturally short, stubby tail gives the American Bobtail its name.

The breed originated in the United States in the 1960s.

American Bobtails have a wild, bobcat-like appearance despite being fully domestic.

The breed is considered quite intelligent, often learning simple tricks.

American Bobtails retain a playful personality throughout their lives.

The breed adapts well to a variety of households and other pets.

A muscular, sturdy build is characteristic of the American Bobtail.

American Bobtails are known for being deeply affectionate with their families.

The breed is generally sociable, enjoying interaction with people.

American Bobtails can be fairly vocal, using varied sounds to communicate.

The breed is sometimes described as dog-like in its loyalty and interactive nature.

A sturdy, robust frame is typical of the American Bobtail.

American Bobtails are known for forming loyal bonds with their owners.

The breed is energetic and enjoys interactive play.",SHORTTAIL,AMERICA,WILDLOOK,INTELLIGENT,PLAYFUL,ADAPTABLE,MUSCULAR,AFFECTIONATE,SOCIABLE,VOCAL,DOGLIKE,STURDY,LOYAL,ENERGETIC
American Curl,"Backward-curling ears are the defining trait of the American Curl.

The breed originated in the United States, first noticed in the 1980s.

The curled ear trait arose from a spontaneous natural genetic mutation.

American Curls retain a playful personality well into adulthood.

The breed is known for being deeply affectionate with its family.

American Curls adapt well to a variety of households.

The breed is generally sociable, enjoying company from people and other pets.

American Curls are often described as having a gentle, easygoing temperament.

The breed is famously curious about its surroundings.

American Curls have a medium-sized, well-proportioned body.

The breed is generally quite friendly, including with strangers.

American Curls form loyal bonds with their owners.

The breed is energetic and enjoys interactive play.

A silky coat, in both short and long varieties, is found in the breed.",CURLEDEARS,AMERICA,MUTATION,PLAYFUL,AFFECTIONATE,ADAPTABLE,SOCIABLE,GENTLE,CURIOUS,MEDIUMSIZE,FRIENDLY,LOYAL,ENERGETIC,SILKY
American Shorthair,"The American Shorthair descends from working cats brought to America by early settlers.

The breed was historically valued as a skilled mouser aboard ships and on farms.

A short, dense coat requires minimal grooming.

American Shorthairs have a naturally sturdy, well-muscled build.

The breed is generally known for an easygoing, adaptable temperament.

American Shorthairs adapt well to a variety of households.

The breed is known for being affectionate without being overly demanding.

American Shorthairs are generally known for a gentle disposition.

The breed is considered relatively long-lived compared to some others.

American Shorthairs form loyal bonds with their families.

A muscular, athletic build reflects the breed's working heritage.

The breed is generally quite friendly with people and other pets.

American Shorthairs can show a streak of independence.

The breed's versatility as both a working cat and companion contributed to its popularity.",AMERICA,MOUSER,SHORTHAIR,STURDY,EASYGOING,ADAPTABLE,AFFECTIONATE,GENTLE,LONGLIVED,LOYAL,MUSCULAR,FRIENDLY,INDEPENDENT,VERSATILE
American Wirehair,"The American Wirehair originated in the United States, first discovered on a farm in New York.

A distinctively wiry, springy coat is the breed's most recognizable feature.

The wirehaired coat arose from a spontaneous natural genetic mutation.

The American Wirehair remains one of the rarer recognized cat breeds.

Even the whiskers of an American Wirehair are often curled or crimped.

The breed is known for being deeply affectionate with its family.

American Wirehairs are generally known for an easygoing temperament.

The breed adapts well to a variety of households.

A sturdy, well-muscled build is typical of the American Wirehair.

The breed retains a playful personality into adulthood.

American Wirehairs are generally known for a gentle disposition.

The breed is famously curious about its surroundings.

American Wirehairs have a medium-sized, well-proportioned body.

The breed is generally quite friendly with people and other pets.",AMERICA,WIRYCOAT,MUTATION,RARE,WHISKERS,AFFECTIONATE,EASYGOING,ADAPTABLE,STURDY,PLAYFUL,GENTLE,CURIOUS,MEDIUMSIZE,FRIENDLY
Aphrodite's Giant,"Aphrodite's Giant originated on the island of Cyprus.

The breed is notably large, among the biggest domestic cat breeds recognized.

Aphrodite's Giant descends from feral cats that roamed the island for generations.

A muscular, powerful build supports the breed's substantial size.

Some breeders trace the line to Cyprus's ancient cats, though the claim is debated by experts.

The breed's feral ancestors likely helped control rodents on the island for generations.

Aphrodite's Giant adapts well to a variety of living situations.

The breed is known for being affectionate with its family.

Aphrodite's Giant can show a degree of independence.

A sturdy frame supports the breed's large size.

The breed is generally known for a friendly temperament.

A short, dense coat is typical of Aphrodite's Giant.

The breed forms loyal bonds with its family.

Aphrodite's Giant remains a rare breed outside of Cyprus.",CYPRUS,LARGEBREED,NATURALBREED,MUSCULAR,ANCIENT,HUNTING,ADAPTABLE,AFFECTIONATE,INDEPENDENT,STURDY,FRIENDLY,SHORTHAIR,LOYAL,RARE
Arabian Mau,"The Arabian Mau originated on the Arabian Peninsula.

The breed developed naturally over centuries in the region's harsh climate.

Arabian Mau cats are well adapted to hot, dry desert environments.

The breed is known for being notably hardy and resilient.

Arabian Mau cats can show a streak of independence from their street-cat ancestry.

An athletic, lean build helps the breed move efficiently in the wild.

A short coat suits the breed's warm native climate.

Arabian Mau cats adapt reasonably well to domestic life.

The breed is naturally alert, quick to notice activity nearby.

Arabian Mau cats form loyal bonds once settled into a home.

The breed can be affectionate with familiar people.

Arabian Mau cats are energetic and enjoy activity.

The breed's survival instincts reflect generations living as street and village cats.

Arabian Mau cats are generally friendly once socialized.",ARABIA,NATURALBREED,DESERT,HARDY,INDEPENDENT,ATHLETIC,SHORTHAIR,ADAPTABLE,ALERT,LOYAL,AFFECTIONATE,ENERGETIC,SURVIVOR,FRIENDLY
Asian,"The Asian cat breed group was developed in the United Kingdom.

The Asian is closely related to the Burmese, sharing much of its body type.

A short, fine coat is characteristic of the Asian breed group.

Asian cats have a sleek, elegant body shape.

The breed is known for being deeply affectionate with its family.

Asian cats are generally sociable, enjoying company from people and other pets.

The breed retains a playful personality into adulthood.

Asian cats are considered quite intelligent.

The breed can be fairly vocal, communicating readily with its owners.

Asian cats are generally quite friendly, including with strangers.

The breed has a medium-sized, muscular body.

Asian cats are energetic and enjoy interactive play.

The breed is famously curious about its surroundings.

A glossy, close-lying coat is typical of the Asian breed group.",BRITAIN,BURMESE,SHORTHAIR,SLEEK,AFFECTIONATE,SOCIABLE,PLAYFUL,INTELLIGENT,VOCAL,FRIENDLY,MEDIUMSIZE,ENERGETIC,CURIOUS,GLOSSY
Australian Mist,"The Australian Mist was developed in Australia.

A spotted coat pattern is one variety recognized within the breed.

A marbled coat pattern is another variety recognized within the breed.

The Australian Mist is known for a notably gentle temperament.

The breed was specifically developed to be a good family cat.

Australian Mist cats are generally sociable, enjoying company from people and pets.

The breed is known for being deeply affectionate with its family.

Australian Mist cats retain a playful personality into adulthood.

The breed adapts well to a variety of households.

Australian Mist cats are generally quite friendly, including with strangers.

The breed has a medium-sized, sturdy body.

Australian Mist cats are known for a relaxed, easygoing temperament.

The breed is curious but not usually destructive.

Australian Mist cats were bred with indoor living in mind.",AUSTRALIA,SPOTTED,MARBLED,GENTLE,FAMILYCAT,SOCIABLE,AFFECTIONATE,PLAYFUL,ADAPTABLE,FRIENDLY,MEDIUMSIZE,RELAXED,CURIOUS,INDOOR
Balinese,"The Balinese descends from long-haired Siamese cats, despite its name referencing Bali.

A long, silky coat sets the Balinese apart from its shorthaired Siamese relatives.

The Balinese shares much of its body type and personality with the Siamese.

The breed is famously vocal, much like its Siamese ancestors.

Balinese cats move with a naturally graceful, flowing gait.

The breed is considered highly intelligent.

Balinese cats are known for being deeply affectionate with their families.

The breed is generally sociable, enjoying close interaction with people.

A slender, elegant body shape is typical of the Balinese.

Balinese cats retain a playful personality into adulthood.

Striking blue eyes are a hallmark of the Balinese, inherited from its Siamese ancestry.

The breed carries itself with an elegant, refined bearing.

Balinese cats are energetic and enjoy interactive play.

The breed is known for being especially chatty with its owners.",THAILAND,LONGHAIR,SIAMESE,VOCAL,GRACEFUL,INTELLIGENT,AFFECTIONATE,SOCIABLE,SLENDER,PLAYFUL,BLUEEYES,ELEGANT,ENERGETIC,CHATTY
